StreetName,City,Lat,Long,InSanFrancisco
"401 Bay St","San Francisco",37.80861170195853,-122.40683660623094,True
"10 4th St","San Francisco",37.78835895154516,-122.40305303806478,True
"1095 Hyde St","San Francisco",37.79346423059109,-122.41709762397939,True
"555 9th St","San Francisco",37.77425635195795,-122.39926635405143,True
"3 Masonic Ave","San Francisco",37.784632045455645,-122.44357009397996,True
"265 Winston Drive","San Francisco",37.72917206193252,-122.46515775507704,True
"417 Westlake Dr","Daly City",37.70636045481304,-122.46820074026695,False
